"filename", "language", "HTML", "TypeScript", "PostCSS", "XML", "JSON with Comments", "JSON", "JavaScript", "Markdown", "comment", "blank", "total"
"/Users/horikazunari/TypeScript/vite-ts-mandara/public/mandara_ts/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 12, 0, 0, 0, 95, 9, 116
"/Users/horikazunari/TypeScript/vite-ts-mandara/public/mandara_ts/worldmap.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 4
"/Users/horikazunari/TypeScript/vite-ts-mandara/public/mandara_ts/worldmap.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"/Users/horikazunari/TypeScript/vite-ts-mandara/public/mandara_ts/zlibrev.js", "JavaScript", 0, 0, 0, 0, 0, 0, 3784, 0, 386, 1, 4171
"/Users/horikazunari/TypeScript/vite-ts-mandara/public/mandara_ts/zlibrev.ts", "TypeScript", 0, 3711, 0, 0, 0, 0, 0, 0, 386, 5, 4102
"/Users/horikazunari/TypeScript/vite-ts-mandara/public/vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/MeshContour.ts", "TypeScript", 0, 534, 0, 0, 0, 0, 0, 0, 49, 43, 626
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/SortingSearch.ts", "TypeScript", 0, 184, 0, 0, 0, 0, 0, 0, 41, 29, 254
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/SpatialIndexSearch.ts", "TypeScript", 0, 635, 0, 0, 0, 0, 0, 0, 52, 56, 743
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/clsAccessory.ts", "TypeScript", 0, 2287, 0, 0, 0, 0, 0, 0, 66, 163, 2516
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/clsAttrData.ts", "TypeScript", 0, 7264, 0, 0, 0, 0, 0, 0, 422, 498, 8184
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/clsDraw.ts", "TypeScript", 0, 3749, 0, 0, 0, 0, 0, 0, 55, 434, 4238
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/clsGeneric.ts", "TypeScript", 0, 5264, 0, 0, 0, 0, 0, 0, 398, 381, 6043
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/clsGrid.ts", "TypeScript", 0, 1704, 0, 0, 0, 0, 0, 0, 116, 77, 1897
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/clsGridControl.ts", "TypeScript", 0, 3937, 0, 0, 0, 0, 0, 0, 450, 261, 4648
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/clsMapdata.ts", "TypeScript", 0, 2684, 0, 0, 0, 0, 0, 0, 495, 208, 3387
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/clsPrint.ts", "TypeScript", 0, 3456, 0, 0, 0, 0, 0, 0, 104, 228, 3788
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/clsSubWindows.ts", "TypeScript", 0, 3424, 0, 0, 0, 0, 0, 0, 116, 243, 3783
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/clsTime.ts", "TypeScript", 0, 359, 0, 0, 0, 0, 0, 0, 7, 46, 412
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/clsWindow.ts", "TypeScript", 0, 4070, 0, 0, 0, 0, 0, 0, 180, 263, 4513
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/counter.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/encoding.min.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 8, 0, 9
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/frmPrint.ts", "TypeScript", 0, 1712, 0, 0, 0, 0, 0, 0, 61, 81, 1854
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/globals.d.ts", "TypeScript", 0, 615, 0, 0, 0, 0, 0, 0, 48, 78, 741
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/index.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 2, 1, 25
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/japanLatLonMap.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/japanmap.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/main.ts", "TypeScript", 0, 175, 0, 0, 0, 0, 0, 0, 13, 34, 222
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/shapeFile.ts", "TypeScript", 0, 507, 0, 0, 0, 0, 0, 0, 15, 44, 566
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/style.css", "PostCSS", 0, 0, 85, 0, 0, 0, 0, 0, 0, 12, 97
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/typescript.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/worldmap.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/horikazunari/TypeScript/vite-ts-mandara/src/zlibrev.ts", "TypeScript", 0, 3711, 0, 0, 0, 0, 0, 0, 5, 5, 3721
"/Users/horikazunari/TypeScript/vite-ts-mandara/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 33, 0, 0, 0, 21, 8, 62
"/Users/horikazunari/TypeScript/vite-ts-mandara/vite.config.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 9, 1, 38
"Total", "-", 1470, 92332, 228, 2, 52, 2264447, 47171, 66, 24338, 6489, 2436595
